oid,label,n_det,t_span
ZTF19aauitks,SN Ia,22,47.967
ZTF19aaumdqx,CV,34,2203.059
ZTF19aaunjft,CV,29,2301.765
ZTF19aauptux,CV,29,2206.956
ZTF19aaustkj,CV,127,2260.857
ZTF19aauxfaw,CV,30,2576.004
ZTF19aavajub,CV,35,1856.977
ZTF19aavdioh,CV,35,2209.979
ZTF19aavjukt,SN IIn,42,114.698
ZTF19aavnuur,SN II,19,46.015
ZTF19aavolzm,CV,49,2347.851
ZTF19aavouyw,SLSN-I,25,45.85
ZTF19aavoweu,SN Ic,15,30.962
ZTF19aavybbf,CV,45,2477.258
ZTF19aavyvbn,SN IIn,42,203.358
ZTF19aaweqnm,AGN,936,2612.907
ZTF19aawevyv,CV,72,1790.043
ZTF19aawfbtg,SLSN-I,121,2552.037
ZTF19aawqckx,SN Ia,73,80.943
ZTF19aawrpwn,CV,36,60.975
ZTF19aawrumx,SN Ia,55,67.955
ZTF19aawscqd,AGN,490,2574.041
ZTF19aawsday,SN Ic,14,69.98
ZTF19aaxbzqp,CV,13,31.011
ZTF19aaxfzao,SN Ia,64,86.925
ZTF19aaxhzol,AGN,117,2605.032
ZTF19aaxibpz,SN Ia,21,42.987
ZTF19aaxnsjl,CV,36,2392.686
ZTF19aaxzdtw,SN Ic,19,42.876
ZTF19aayfhtc,CV,15,23.957
ZTF19aayhvar,CV,52,2582.0
ZTF19aayjien,AGN,325,2603.844
ZTF19aaynnae,AGN,331,2602.959
ZTF19aaysjah,AGN,388,2583.979
ZTF19aaytisr,CV,108,2582.982
ZTF19aayurjv,CV,100,2594.793
ZTF19aayvpbf,AGN,406,2600.916
ZTF19aayvyfa,AGN,1239,2583.03
ZTF19aazdroc,AGN,446,2589.967
ZTF19aazgdlv,CV,52,2430.32
ZTF19aaziqbb,CV,78,1456.039
ZTF19aazlpqy,AGN,466,2598.891
ZTF19aazodnk,CV,22,125.77
ZTF19aazrnvw,CV,26,2380.779
ZTF19abaejrh,SN Ia,13,35.028
ZTF19abafmwj,SN Ic,15,33.96
ZTF19abagewd,CV,30,2514.141
ZTF19abahjuv,CV,23,2168.964
ZTF19abaivcy,CV,37,2576.001
ZTF19abalrzb,CV,31,2588.852
ZTF19abalyyh,CV,35,2567.972
ZTF19abandzh,SN IIn,26,28.019
ZTF19abasljb,CV,46,2213.878
ZTF19abauylg,SN Ic,55,73.919
ZTF19abbxvlp,AGN,896,2608.897
ZTF19abbyvpr,AGN,388,2551.073
ZTF19abccbee,CV,20,1584.825
ZTF19abceftq,AGN,230,2583.979
ZTF19abcegvm,SN Ic,61,2581.035
ZTF19abcejfo,SN IIn,69,200.645
ZTF19abcejrr,SN II,34,97.872
ZTF19abcemxn,CV,15,1884.915
ZTF19abcfzdy,SN Ia,16,38.951
ZTF19abclykm,AGN,1104,2366.709
ZTF19abcmhpj,CV,26,2249.856
ZTF19abcomui,CV,15,2195.169
ZTF19abcoosk,CV,10,23.069
ZTF19abcsyho,AGN,611,2578.95
ZTF19abdkbcx,AGN,49,1537.883
ZTF19abdlffo,AGN,223,2577.985
ZTF19abdoior,SN Ic,14,39.98
ZTF19abdolkk,CV,15,1454.148
ZTF19abdqfdd,CV,37,1588.945
ZTF19abdqhzt,CV,31,28.03
ZTF19abdrwsz,SN Ia,39,108.818
ZTF19abdviwl,SN IIn,40,105.777
ZTF19abecaca,SN IIn,178,383.886
ZTF19abegizf,SN II,24,38.955
ZTF19abegkxo,AGN,86,2000.688
ZTF19abegxfs,SN IIn,37,93.958
ZTF19abfibel,SN Ia,42,86.869
ZTF19abfjjbi,AGN,90,1799.123
ZTF19abfvnns,SLSN-I,126,2126.055
ZTF19abgcnzi,CV,21,792.97
ZTF19abgczul,CV,21,2308.816
ZTF19abgitjn,CV,44,2270.952
ZTF19abgiwkt,SN II,166,2567.039
ZTF19abgknfb,CV,56,2549.997
ZTF19abgncfz,SN II,32,45.961
ZTF19abgueit,CV,16,514.77
ZTF19abguqsi,SN II,21,74.799
ZTF19abhbiqq,CV,120,2497.228
ZTF19abhelmm,AGN,335,1439.021
ZTF19abhvryy,AGN,254,2279.793
ZTF19abhzewi,SN Ia,26,72.911
ZTF19abipmfl,SN Ia,12,26.933
ZTF19abitexk,AGN,30,2047.201
ZTF19abjacdu,SN IIn,730,562.72
ZTF19abjmnlw,AGN,424,2556.037
ZTF19abjnwcy,AGN,316,2544.088
ZTF19abjpntj,SN II,75,118.752
ZTF19abkhmcv,AGN,349,2271.793
ZTF19abkxeft,SN II,42,1088.978
ZTF19abljehr,CV,42,2161.07
ZTF19abllcvf,CV,16,2507.073
ZTF19ablojrw,SN IIn,20,38.979
ZTF19ablpwta,AGN,987,2562.013
ZTF19ablujxj,CV,97,2291.794
ZTF19ablwwox,CV,10,38.988
ZTF19abmmksy,AGN,374,1506.787
ZTF19abnacvf,SLSN-I,30,65.036
ZTF19abnagzk,SN Ia,65,63.809
ZTF19abonixj,CV,23,2209.931
ZTF19abpbbxx,SN Ia,22,72.851
ZTF19abpbopt,SLSN-I,83,92.767
ZTF19abpidqn,SN IIn,18,24.017
ZTF19abpnpcy,CV,28,2217.877
ZTF19abppewc,CV,25,16.035
ZTF19abpuyvi,CV,51,1973.33
ZTF19abpvyac,CV,15,2353.716
ZTF19abpwygn,CV,22,1201.91
ZTF19abpxmgt,AGN,10,25.986
ZTF19abpzuzd,SN Ia,49,73.734
ZTF19abqgwuy,SN Ia,48,98.835
ZTF19abqivge,CV,85,2224.982
ZTF19abqmsbk,SN Ic,14,42.962
ZTF19abqviuy,SN Ia,34,60.823
ZTF19abqykyd,SN Ia,22,52.96
ZTF19abraqpf,CV,26,1759.158
ZTF19abrbmvt,SN II,79,2465.07
ZTF19abrhdui,CV,41,2181.996
ZTF19abrougq,CV,37,2442.306
ZTF19abrsuah,SN Ia,12,40.898
ZTF19abtsnyy,SN Ic,56,2527.992
ZTF19abueupg,SN II,123,87.827
ZTF19abulzhy,SN IIn,76,53.82
ZTF19abuzohq,AGN,18,2333.751
ZTF19abvhkst,SN Ia,96,2495.049
ZTF19abvixoy,CV,42,2239.008
ZTF19abwsfsl,CV,22,1800.129
ZTF19abwtgqb,AGN,290,2341.668
ZTF19abxeoee,CV,51,2345.372
ZTF19abxgmzr,SLSN-I,24,56.911
ZTF19abxhtzs,AGN,137,2176.028
ZTF19abxihut,SN Ia,14,52.867
ZTF19abxivpg,CV,11,15.064
ZTF19abxnycf,SN II,35,142.72
ZTF19abxrdlu,CV,22,2129.174
ZTF19abxvksn,CV,28,33.042
ZTF19abxvkvc,CV,20,30.018
ZTF19abxvmid,AGN,150,2352.763
ZTF19abxxedn,AGN,12,1833.974
ZTF19abxzumq,CV,13,22.031
ZTF19abydagb,CV,105,2281.902
ZTF19abyfxzl,CV,54,1923.735
ZTF19abyihtb,AGN,44,2270.021
ZTF19abyjmei,AGN,507,2364.683
ZTF19abylcik,CV,62,2173.097
ZTF19abylxyt,SN Ia,14,492.699
ZTF19abymukc,SN II,20,61.028
ZTF19abzlsbl,SN Ia,38,48.897
ZTF19abzmmvz,SN IIn,16,43.979
ZTF19abzpkss,CV,19,11.999
ZTF19abzrdup,SN II,71,166.717
ZTF19abzsjpn,SN Ia,16,44.726
ZTF19abztwyf,AGN,74,2327.408
ZTF19abzulhk,SN Ia,74,59.047
ZTF19abzwbxy,CV,18,1476.045
ZTF19abzzgec,SN Ia,17,45.009
ZTF19abzzuin,CV,37,125.811
ZTF19acaiora,CV,17,2312.754
ZTF19acajaak,CV,54,2351.693
ZTF19acapech,SN IIn,189,506.754
ZTF19acaqoef,SN Ic,198,165.907
ZTF19acawgrs,CV,15,57.98
ZTF19acawqlu,CV,25,1922.996
ZTF19acaxfkb,CV,22,2083.195
ZTF19acbnhkd,SN Ia,27,55.836
ZTF19acbonaa,SLSN-I,44,139.686
ZTF19acbphzu,CV,60,2452.151
ZTF19acbveqm,CV,189,2337.781
ZTF19acccyyt,AGN,381,2401.657
ZTF19accczao,AGN,498,2401.657
ZTF19acchjle,SN Ia,23,55.854
ZTF19acclxtn,CV,25,2412.249
ZTF19accvbkv,CV,35,1640.228
ZTF19acdacji,CV,17,1964.781
ZTF19acduaik,AGN,606,2307.814
ZTF19acdxkek,SN II,11,35.875
ZTF19aceckmm,SN II,55,143.815
ZTF19acecvsm,CV,32,2166.168
ZTF19aceifef,CV,13,12.007
ZTF19acendsf,CV,29,2122.217
ZTF19acenkuz,CV,53,27.039
ZTF19acennqf,SN Ia,12,22.963
ZTF19aceqjqw,SN Ic,10,27.071
ZTF19aceqlxc,SN IIn,161,2161.039
ZTF19acercun,CV,18,1154.029
ZTF19acewdru,AGN,124,1803.056
ZTF19acfmwlh,SN Ia,20,38.908
ZTF19acfrhnq,CV,60,143.707
ZTF19acfvzmr,CV,22,582.283
ZTF19acfwynw,SLSN-I,27,87.922
ZTF19acgfvvi,SN II,21,35.964
ZTF19acgjpgh,SLSN-I,49,186.648
ZTF19acgkead,AGN,266,2462.237
ZTF19achbhfc,CV,41,33.11
ZTF19achcdju,CV,16,18.008
ZTF19acidatw,AGN,151,2344.728
ZTF19acigwcg,CV,109,2223.985
ZTF19aciuhwi,CV,12,15.032
ZTF19acjfhom,SN Ia,13,53.962
ZTF19acjiett,CV,26,1570.814
ZTF19acjtmjp,CV,24,1942.447
ZTF19acjtpqd,SN Ic,72,258.147
ZTF19acjtrst,CV,11,2058.204
ZTF19ackjrru,SLSN-I,124,110.787
ZTF19ackjtfm,SN II,36,167.835
ZTF19aclhpiz,AGN,43,1972.717
ZTF19aclkofz,CV,25,2096.234
ZTF19acllsbq,SN Ic,16,77.876
ZTF19aclobbu,SN II,156,272.177
ZTF19acnskyy,AGN,215,1303.67
ZTF19acnxvkp,AGN,65,46.037
ZTF19acojuzv,SN Ia,54,111.706
ZTF19acokzjy,SN Ia,23,80.777
ZTF19acozbwk,CV,14,2021.373
ZTF19acpmpvh,CV,32,2029.262
ZTF19acrbzdn,CV,68,1963.701
ZTF19acrdtah,CV,69,2180.214
ZTF19acryurj,SN II,51,90.822
ZTF19acszmgx,SN II,30,100.641
ZTF19acszwgx,CV,15,2139.087
ZTF19actabny,SN IIn,66,168.727
ZTF19acukucu,SN IIn,20,62.782
ZTF19aculisr,CV,27,2099.152
ZTF19acvmcdd,SN II,27,81.938
ZTF19acvtvlo,SN Ia,15,53.801
ZTF19acxgueu,CV,54,2002.333
ZTF19acxmnkc,SN IIn,34,47.939
ZTF19acxphhl,SN Ia,52,35.957
ZTF19acxpwil,AGN,599,2357.658
ZTF19acxqaot,SN IIn,47,211.667
ZTF19acxxspb,CV,29,2251.92
ZTF19acxzbad,CV,38,1796.103
ZTF19acyfakk,SN Ia,62,76.064
ZTF19acyfhnn,CV,46,1923.01
ZTF19acyfkzd,SN Ia,16,46.951
ZTF19acyggzu,SN Ic,77,83.892
ZTF19acyjviz,SN IIn,72,87.919
ZTF19acyjzbe,SLSN-I,41,50.781
ZTF19acykaae,SN IIn,40,190.668
ZTF19acyldun,SN IIn,27,41.961
ZTF19acymuht,CV,64,2248.839
ZTF19acyogrm,SN Ic,41,68.012
ZTF19acyupee,CV,25,2104.283
ZTF19aczjyre,SN Ia,21,120.75
ZTF19adaiibn,AGN,195,2303.735
ZTF19adaivcf,SLSN-I,177,75.916
ZTF19adaiyql,AGN,270,2318.686
ZTF19adajivt,SN Ia,17,39.82
ZTF19adakybi,CV,32,2054.238
ZTF19adannbl,SN IIn,19,60.858
ZTF19adbkvnr,CV,60,1962.812
ZTF19adbqznr,CV,50,21.033
ZTF19adbryab,SN II,26,66.893
ZTF19adccrca,SN II,147,77.876
ZTF19adcddzk,AGN,345,1055.019
ZTF19addgtqm,CV,37,936.687
ZTF19adgooar,SN II,64,187.635
ZTF20aaaddgy,SN IIn,68,57.959
ZTF20aaavxvy,CV,16,2189.017
ZTF20aaaweke,SN IIn,237,407.872
ZTF20aaaydnj,AGN,49,1251.709
ZTF20aabcemq,SN IIn,69,350.065
ZTF20aacbyec,SN IIn,72,179.719
ZTF20aacdfyv,SN Ic,28,112.874
ZTF20aacewxb,SN II,13,42.018
ZTF20aadtarr,SN IIn,67,414.855
ZTF20aadxrvb,SN IIn,35,2263.822
ZTF20aadyyvk,SN IIn,184,87.92
ZTF20aadzfzy,CV,40,1536.94
ZTF20aaeiols,CV,11,2079.615
ZTF20aaekkuv,SN Ic,13,38.91
ZTF20aaelulu,SN Ic,58,111.685
ZTF20aaetsrw,AGN,117,410.908
ZTF20aaewhin,CV,13,1002.152
ZTF20aafdzfo,AGN,301,1510.92
ZTF20aafvzhu,SN Ia,37,40.971
ZTF20aafwbcs,SN Ia,16,29.981
ZTF20aafxzej,AGN,388,2264.913
ZTF20aaggyef,AGN,145,2294.759
ZTF20aagjpmt,SN II,26,47.903
ZTF20aahapgw,SN IIn,45,251.197
ZTF20aahbfmf,SLSN-I,23,71.812
ZTF20aahcrjn,CV,19,1065.161
ZTF20aahcslg,CV,11,10.892
ZTF20aahidaa,SN Ia,11,20.011
ZTF20aaidnku,CV,10,15.112
ZTF20aaiftgi,SN Ic,13,38.921
ZTF20aaifybu,SLSN-I,47,135.793
ZTF20aaifyrs,SN Ia,23,62.963
ZTF20aaimqhh,CV,37,2191.059
ZTF20aajvyja,SN IIn,165,268.567
ZTF20aaknyvm,AGN,104,1900.763
ZTF20aakugak,CV,18,1714.333
ZTF20aakzbfh,SN II,26,1314.633
ZTF20aalbjqh,SN Ia,12,32.001
ZTF20aalbtwh,SN II,13,25.042
ZTF20aamamnp,SN II,21,73.944
ZTF20aamazzl,SN II,39,54.936
ZTF20aamdlml,CV,26,2024.782
ZTF20aamdsjv,SN Ia,32,52.925
ZTF20aamdyln,SN Ic,12,79.792
ZTF20aamihhs,AGN,105,2340.631
ZTF20aamknna,SN Ia,11,29.978
ZTF20aammtwx,SN Ic,24,65.024
ZTF20aamqmhj,SN Ic,32,22.143
ZTF20aamrreb,SN IIn,81,2208.955
ZTF20aamttiw,SN II,73,158.807
ZTF20aamxuwl,SN II,13,62.935
ZTF20aanlygx,AGN,410,2206.987
ZTF20aanxcpf,AGN,543,1870.982
ZTF20aaobxzx,CV,11,1833.988
ZTF20aaomeaa,SN Ia,11,17.057
ZTF20aapfiby,CV,44,2167.956
ZTF20aapycrh,SN II,54,1185.891
ZTF20aaqrddh,SN Ia,23,38.05
ZTF20aaqtlwo,SN Ic,53,93.779
ZTF20aartnkv,SN IIn,40,88.941
ZTF20aasiuxr,CV,53,1581.791
ZTF20aasivtu,AGN,959,2163.06
ZTF20aaspiic,AGN,345,2315.681
ZTF20aaspwvx,CV,13,1516.911
ZTF20aastgns,AGN,231,2254.897
ZTF20aasuiks,AGN,48,433.832
ZTF20aaswzdm,SN IIn,20,55.986
ZTF20aatppnn,SN Ia,15,43.97
ZTF20aatqief,SN Ia,20,58.938
ZTF20aatsjyu,CV,10,8.079
ZTF20aattyuz,SLSN-I,50,60.836
ZTF20aattztb,SN IIn,67,128.713
ZTF20aatvqqw,CV,12,2139.134
ZTF20aatvupb,SN II,11,35.967
ZTF20aatxmcd,SN II,16,77.904
ZTF20aauomaf,SN Ia,19,54.854
ZTF20aauonhf,CV,36,1908.941
ZTF20aaurern,CV,30,1527.975
ZTF20aaurfwa,SN IIn,129,243.115
ZTF20aavgcnu,SN Ic,10,31.049
ZTF20aavhixe,SN IIn,32,86.937
ZTF20aavhyel,SN Ic,35,88.873
ZTF20aavptjf,SN II,31,64.948
ZTF20aavtaib,CV,67,1859.944
ZTF20aavtfxl,CV,56,1731.056
ZTF20aawbodq,CV,17,31.041
ZTF20aawbxmt,AGN,717,2106.178
ZTF20aawgrcu,SN II,128,108.914
ZTF20aawigqc,CV,25,28.025
ZTF20aawijco,SN IIn,33,90.856
ZTF20aawjbsf,SN II,10,22.028
ZTF20aawxpru,SN II,20,93.972
ZTF20aawxtmm,CV,15,840.835
ZTF20aayprqz,SLSN-I,69,90.966
ZTF20aayvuwu,AGN,135,2093.107
ZTF20aazbbqo,AGN,138,2066.178
ZTF20aazcnnw,CV,30,2092.26
ZTF20aazffau,SN IIn,222,233.771
ZTF20aazhtvi,SN Ia,88,76.9
ZTF20aazpyhy,SN Ic,67,65.85
ZTF20aazquhc,SN Ia,20,46.99
ZTF20aazvump,CV,10,31.983
ZTF20abafjtw,CV,10,21.932
ZTF20abafqkq,CV,18,1942.779
ZTF20abakrcq,CV,35,2183.039
ZTF20abazeye,CV,15,22.948
ZTF20abbbumr,SN Ia,17,40.981
ZTF20abbvqww,CV,33,2150.148
ZTF20abeezca,SN Ic,11,23.035
ZTF20abeglzu,SN Ia,41,76.946
ZTF20abeohfn,SN II,99,337.102
ZTF20abeokzg,AGN,224,2134.192
ZTF20abezylf,CV,16,1899.961
ZTF20abfrdei,AGN,18,29.995
ZTF20abgbwbe,AGN,194,2196.054
ZTF20abgfegv,CV,29,21.018
ZTF20abgrory,CV,31,108.826
ZTF20abgxlut,AGN,104,326.148
ZTF20abgxwyt,CV,30,1637.865
ZTF20abhfrxt,CV,14,29.022
ZTF20abjapox,AGN,48,701.03
ZTF20abjatqy,SN II,52,127.832
ZTF20abjimko,CV,15,1785.084
ZTF20abjnqcj,CV,26,1492.079
ZTF20abjorou,CV,61,28.083
ZTF20abjtwft,CV,13,848.774
ZTF20abjucyd,CV,26,1947.884
ZTF20abjuxoy,SN II,92,143.675
ZTF20abjyoty,SN II,60,148.745
ZTF20abjyzhj,CV,59,2191.11
ZTF20abkfkze,CV,22,1424.147
ZTF20abkiarz,SN Ic,11,12.054
ZTF20ablxtlp,SN Ia,25,35.941
ZTF20ablyczu,CV,149,90.899
ZTF20abmapla,SN Ia,20,67.921
ZTF20abmdfcy,SN Ia,49,39.955
ZTF20abmdplx,AGN,561,2029.681
ZTF20abmgzuf,CV,48,1941.855
ZTF20abmxstg,SN Ia,57,49.81
ZTF20abmzfql,SN Ia,80,68.876
ZTF20abnsqsr,CV,33,1904.877
ZTF20abobpcb,SLSN-I,167,1038.919
ZTF20abonvte,SN IIn,55,91.805
ZTF20abopngr,CV,35,32.998
ZTF20aborzxc,SN Ic,25,80.868
ZTF20abotkfn,SN II,177,932.725
ZTF20abpbfzp,AGN,194,2188.891
ZTF20abpbmxi,CV,19,1808.061
ZTF20abpsbyg,SN Ia,25,52.975
ZTF20abpuwxl,SLSN-I,76,140.695
ZTF20abpuxcc,SN Ic,15,78.794
ZTF20abpuxna,SN II,62,88.853
ZTF20abpvhqv,SN Ic,29,87.966
ZTF20abpvolc,SN Ia,87,75.886
ZTF20abpwtmi,CV,1473,2013.224
ZTF20abqdkne,SN Ic,69,69.908
ZTF20abqetet,SN Ia,56,49.952
ZTF20abqgbum,SN IIn,32,28.999
ZTF20abqlmwn,SN II,101,197.69
ZTF20abqvsik,SN Ia,166,941.714
ZTF20abrgylo,CV,35,1932.816
ZTF20abtjjhb,SN IIn,91,91.747
ZTF20abtkjfw,SN Ic,31,86.84
ZTF20abvtozi,SN Ia,174,105.745
ZTF20abvvnqh,SN Ic,32,59.796
ZTF20abwxywy,SN Ic,95,132.727
ZTF20abxpoxd,SN Ic,289,377.964
ZTF20abxxzxy,SN Ia,23,33.023
ZTF20abxyaaf,SN Ic,70,110.778
ZTF20abxyayj,AGN,449,1982.642
ZTF20abxyfye,SN Ia,44,58.876
ZTF20abxzwuc,AGN,22,24.914
ZTF20abychpb,CV,15,1348.131
ZTF20abywsut,SN Ic,41,55.797
ZTF20abywydb,SN II,43,63.866
ZTF20abyxjvm,SN IIn,65,97.75
ZTF20abzcokk,CV,36,22.874
ZTF20abzhwtq,SN Ia,27,37.874
ZTF20abzumlr,SLSN-I,28,152.297
ZTF20abzvxyk,SN Ia,82,47.899
ZTF20acauthg,SN Ia,85,57.95
ZTF20acbekkx,SN IIn,83,120.75
ZTF20acbiwri,SN II,52,100.872
ZTF20accbsxa,SN Ic,26,34.846
ZTF20accoccp,SN Ic,17,46.89
ZTF20aceokvr,SN IIn,45,124.847
ZTF20acfqngt,SN Ic,50,111.836
ZTF20acgcpuu,CV,22,1402.159
ZTF20acggqfs,SN IIn,71,187.746
ZTF20acghodf,SN IIn,24,46.84
ZTF20acgjixx,CV,20,1961.733
ZTF20acgyjbh,SN II,123,342.016
ZTF20achdcni,SN Ia,28,42.078
ZTF20achksbc,SN Ia,51,47.922
ZTF20achmgee,SN Ia,34,42.817
ZTF20achmmex,SN II,35,102.736
ZTF20achtpbn,SN Ia,24,39.895
ZTF20aciigcw,SN Ia,11,14.945
ZTF20acioekr,CV,21,34.015
ZTF20acioiem,CV,18,35.908
ZTF20aciouqw,CV,19,22.941
ZTF20acithxf,SN Ia,47,36.062
ZTF20acjetyf,SN Ia,19,22.987
ZTF20ackhoov,SN II,43,1999.663
ZTF20ackijbs,AGN,104,2011.679
ZTF20ackkejs,SN Ia,30,49.021
ZTF20acklcyp,SN IIn,364,769.947
ZTF20acknpig,SN II,78,126.887
ZTF20aclkvjy,SN IIn,31,45.894
ZTF20aclnplo,SN Ic,33,716.031
ZTF20aclvtnk,SN II,70,206.19
ZTF20aclxbwk,SN Ia,16,35.894
ZTF20aclzegl,SN Ia,19,41.925
ZTF20acmddof,SN Ia,29,60.93
ZTF20acmyxdb,CV,16,25.898
ZTF20acnviht,AGN,59,799.919
ZTF20acoalxr,AGN,13,30.946
ZTF20acodsyb,AGN,93,2010.739
ZTF20acoqlrd,SN Ia,25,43.913
ZTF20acounxo,SN IIn,59,2006.695
ZTF20acoxtxr,SN Ia,32,30.996
ZTF20acozxxt,CV,18,75.924
ZTF20acpgolz,AGN,418,2007.664
ZTF20acpguww,AGN,180,1988.78
ZTF20acphdcg,SLSN-I,372,2004.751
ZTF20acpkprl,SN Ia,21,30.922
ZTF20acpqbfu,SN II,29,37.998
ZTF20acpxtoc,AGN,129,1890.978
ZTF20acpyldh,SLSN-I,97,200.707
ZTF20acqgklx,SN IIn,71,1937.81
ZTF20acqislg,AGN,374,1858.981
ZTF20acqnfzn,SN IIn,48,151.677
ZTF20acqnhci,AGN,110,1957.704
ZTF20acqoxod,CV,33,1735.244
ZTF20acqpkxj,CV,296,2078.263
ZTF20acqucpz,CV,21,36.944
ZTF20acqzpta,SN Ia,24,35.966
ZTF20acrhrcy,SN Ia,14,30.969
ZTF20acsfdnn,SN Ia,25,49.984
ZTF20acszhad,CV,15,21.915
ZTF20actekrw,SN Ic,21,1925.833
ZTF20actkulc,SN IIn,148,2049.669
ZTF20actlumf,CV,48,1682.253
ZTF20actowqe,CV,38,38.009
ZTF20actpatx,SN Ia,28,48.979
ZTF20actquzl,SN II,51,96.884
ZTF20actzmzp,CV,169,182.74
ZTF20acuaqlf,SN II,29,201.348
ZTF20acueziy,SN Ic,21,46.996
ZTF20acufmrl,CV,77,1881.036
ZTF20acuhlns,CV,14,1446.063
ZTF20acuofwe,AGN,14,1490.837
ZTF20acusylb,SN IIn,182,546.656
ZTF20acvamwo,AGN,75,1548.798
ZTF20acveyyv,SN IIn,76,153.879
ZTF20acvfraq,AGN,259,1704.243
ZTF20acvjlev,SN II,149,1388.168
ZTF20acvlzjg,CV,35,1905.445
ZTF20acwofhd,SN Ic,60,98.898
ZTF20acwpaov,SN Ia,17,33.912
ZTF20acwyoqx,AGN,91,1945.725
ZTF20acxffhe,AGN,22,1922.905
ZTF20acxkfrm,SN II,55,124.687
ZTF20acxncha,SN Ia,30,57.025
ZTF20acxpvhu,SN Ia,28,49.909
ZTF20acynlkj,SN Ia,18,29.961
ZTF20acypdlh,CV,26,981.143
ZTF20aczacou,CV,11,15.908
ZTF20aczgmai,SN IIn,31,106.824
ZTF20acztnts,SN Ia,32,86.804
ZTF20adadrhw,SN Ic,87,137.98
ZTF21aaabviz,SN Ia,36,64.811
ZTF21aaaosoq,SN Ic,24,47.9
ZTF21aaarmhs,CV,23,1856.0
ZTF21aaarmti,SLSN-I,43,47.94
ZTF21aaasirb,AGN,347,1532.976
ZTF21aaaubig,SN Ic,53,100.727
ZTF21aabcyvd,SN Ia,22,42.927
ZTF21aacufip,SN Ic,29,43.914
ZTF21aacvhsc,SN Ia,37,144.314
ZTF21aadkhte,SN II,94,149.814
ZTF21aadoizf,SN II,61,1350.126
ZTF21aaedpyk,CV,11,37.012
ZTF21aaeeuqz,CV,21,79.865
ZTF21aaekmoy,SN Ia,19,42.96
ZTF21aaeoqxf,SN II,35,117.731
ZTF21aafepon,SN II,76,254.153
ZTF21aaffxdt,SN IIn,21,46.924
ZTF21aafkpnp,SN Ia,56,67.775
ZTF21aagkhwf,SN Ia,32,35.908
ZTF21aagnbev,CV,25,72.944
ZTF21aagnqnz,SN IIn,64,388.076
ZTF21aagocor,SN Ia,63,1897.896
ZTF21aagoldn,CV,31,1567.961
ZTF21aagpymw,SLSN-I,98,858.773
ZTF21aagqbvp,SN II,80,92.914
ZTF21aagrbpi,SN Ia,21,43.858
ZTF21aagtqdu,CV,17,105.89
ZTF21aagtqkc,AGN,719,1826.04
ZTF21aagvmtk,CV,19,66.975
ZTF21aagydmn,SN II,30,61.899
ZTF21aahdqrg,SN Ic,52,1945.825
ZTF21aahfjrr,SN IIn,83,130.857
ZTF21aahjlqc,AGN,44,805.884
ZTF21aahptas,SN Ia,21,55.92
ZTF21aajvkwg,CV,20,1830.042
ZTF21aakbgpf,SN Ia,27,49.876
ZTF21aakiqbm,AGN,41,1951.832
ZTF21aakjkec,SLSN-I,65,85.881
ZTF21aakymbv,SN Ic,50,174.292
ZTF21aalgqsv,SN Ia,19,1147.855
ZTF21aalhtgv,SLSN-I,77,1890.822
ZTF21aalkhot,SLSN-I,67,556.707
ZTF21aalrkqr,AGN,195,693.094
ZTF21aalyvyw,SN Ia,23,47.003
ZTF21aamwqim,SN II,32,77.87
ZTF21aamwzfi,SN Ia,42,52.94
ZTF21aanehlz,CV,77,132.788
ZTF21aanhvpo,SN II,17,21.015
ZTF21aannoix,SN Ic,48,97.834
ZTF21aanwmxn,SN II,59,92.879
ZTF21aaocwmx,CV,37,1822.043
ZTF21aaodljj,SN Ia,45,66.041
ZTF21aaopqyt,CV,15,33.047
ZTF21aaphjyn,CV,17,22.927
ZTF21aapjmgf,SN II,54,81.935
ZTF21aapkcmr,SN II,33,72.973
ZTF21aappdnv,SLSN-I,39,1821.029
ZTF21aappkns,SN IIn,30,1132.932
ZTF21aaqafcf,SN Ia,47,66.92
ZTF21aaqhqke,SN IIn,100,257.274
ZTF21aaqjmps,SN II,70,108.924
ZTF21aaqldsj,SN II,40,87.948
ZTF21aaqldsk,SN Ic,85,82.916
ZTF21aaqmqyp,CV,39,65.875
ZTF21aaqpykm,SN Ia,43,56.909
ZTF21aaqqlfw,SN Ia,27,39.036
ZTF21aaqqwsa,AGN,507,1753.567
ZTF21aaquhqr,SN II,160,1925.846
ZTF21aaquyjp,CV,22,109.844
ZTF21aaqvhgk,CV,18,1405.144
ZTF21aaqzrat,CV,20,23.92
ZTF21aaradzm,SN IIn,93,124.876
ZTF21aarcobt,SN IIn,71,188.772
ZTF21aarmkuj,SN Ia,35,43.984
ZTF21aastazz,SN Ia,21,28.034
ZTF21aatdzmt,SN Ia,43,67.912
ZTF21aatlewl,AGN,452,1947.853
ZTF21aatnpnl,CV,25,1847.017
ZTF21aatscez,CV,55,1894.98
ZTF21aatvqcl,SN II,33,40.04
ZTF21aautijg,SN IIn,82,116.909
ZTF21aavbrwr,SN Ia,32,47.989
ZTF21aavdqgf,SLSN-I,55,95.885
ZTF21aavhlry,SN Ia,52,79.773
ZTF21aavodst,SN Ia,10,16.004
ZTF21aavoqpl,SN II,70,42.045
ZTF21aavumzc,CV,84,1694.696
ZTF21aavuprt,CV,21,1605.748
ZTF21aavuqzr,SN IIn,257,211.669
ZTF21aavutkm,SN Ia,40,114.755
